"group" "motif_type" "counts" "total_count"
"14" "protein_complexes" 9 2
"14" "protein_complexes" 10 1
"14" "regulatory_triplets" 2 156
"14" "regulatory_triplets" 3 24
"14" "regulatory_triplets" 4 10
"14" "regulatory_triplets" 6 2
"14" "regulatory_triplets" 8 1
"14" "signaling_triplets" 2 221
"14" "signaling_triplets" 3 43
"14" "signaling_triplets" 4 14
"14" "signaling_triplets" 5 5
"14" "signaling_triplets" 6 3
"14" "signaling_triplets" 7 3
"14" "signaling_triplets" 16 1
"14" "signaling_triplets" 17 1
"15" "others" 2 68
"15" "others" 3 24
"15" "others" 4 10
"15" "others" 5 7
"15" "others" 6 1
"15" "others" 7 6
"15" "others" 8 2
"15" "others" 9 1
"15" "others" 10 1
"15" "others" 12 1
"15" "others" 13 2
"15" "others" 15 1
"15" "others" 18 1
"15" "others" 21 1
"15" "others" 22 1
"15" "protein_complexes" 2 425
"15" "protein_complexes" 3 78
"15" "protein_complexes" 4 20
"15" "protein_complexes" 5 10
"15" "protein_complexes" 6 2
"15" "protein_complexes" 7 2
"15" "protein_complexes" 8 2
"15" "protein_complexes" 9 1
"15" "protein_complexes" 11 1
"15" "regulatory_triplets" 2 183
"15" "regulatory_triplets" 3 25
"15" "regulatory_triplets" 4 15
"15" "regulatory_triplets" 5 3
"15" "regulatory_triplets" 6 3
"15" "regulatory_triplets" 11 2
"15" "signaling_triplets" 2 193
"15" "signaling_triplets" 3 41
"15" "signaling_triplets" 4 13
"15" "signaling_triplets" 5 3
"15" "signaling_triplets" 6 1
"15" "signaling_triplets" 7 2
"15" "signaling_triplets" 20 1
"16" "others" 2 71
"16" "others" 3 27
"16" "others" 4 12
"16" "others" 5 9
"16" "others" 6 4
"16" "others" 7 4
"16" "others" 8 4
"16" "others" 9 1
"16" "others" 10 1
"16" "others" 11 1
"16" "others" 12 2
"16" "others" 13 2
"16" "others" 18 1
"16" "others" 19 1
"16" "others" 24 1
"16" "protein_complexes" 2 397
"16" "protein_complexes" 3 66
"16" "protein_complexes" 4 26
"16" "protein_complexes" 5 6
"16" "protein_complexes" 6 3
"16" "protein_complexes" 7 2
"16" "protein_complexes" 9 1
"16" "protein_complexes" 10 1
"16" "protein_complexes" 16 1
"16" "regulatory_triplets" 2 160
"16" "regulatory_triplets" 3 20
"16" "regulatory_triplets" 4 13
"16" "regulatory_triplets" 5 1
"16" "regulatory_triplets" 6 1
"16" "regulatory_triplets" 7 1
"16" "regulatory_triplets" 9 1
"16" "regulatory_triplets" 19 1
"16" "signaling_triplets" 2 208
"16" "signaling_triplets" 3 47
"16" "signaling_triplets" 4 10
"16" "signaling_triplets" 5 5
"16" "signaling_triplets" 7 1
"16" "signaling_triplets" 8 2
"16" "signaling_triplets" 9 1
"16" "signaling_triplets" 11 1
"16" "signaling_triplets" 14 1
"17" "others" 2 71
"17" "others" 3 20
"17" "others" 4 11
"17" "others" 5 6
"17" "others" 6 4
"17" "others" 7 1
"17" "others" 8 3
"17" "others" 9 1
"17" "others" 10 2
"17" "others" 11 2
"17" "others" 12 1
"17" "others" 13 2
"17" "others" 16 1
"17" "others" 20 1
"17" "others" 24 1
"17" "others" 25 1
"17" "others" 30 2
"17" "others" 40 1
