Node label	Node label ORF	Domain (predominant)	Neighborhood score [max=1, min=0] (predominant)	Total number of enriched domains	Number of enriched attributes per domain
YER006W	YER006W	8	1.000	3	0,0,0,0,0,3,9,9,0,0,0,0,0,0,0,0
YER007W	YER007W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER009W	YER009W	9	1.000	1	0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
YER012W	YER012W	11	1.000	2	0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0
YER013W	YER013W	6	1.000	1	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
YER016W	YER016W	14	0.649	2	0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0
YER018C	YER018C	14	0.767	1	0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
YER019C-A	YER019C-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER021W	YER021W	11	0.757	3	0,0,0,0,0,0,0,0,0,16,0,0,11,3,0,0
YER022W	YER022W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,2,84,0,0
YER023W	YER023W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER025W	YER025W	12	0.528	1	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
YER027C	YER027C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER028C	YER028C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER030W	YER030W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER031C	YER031C	3	0.832	2	1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER032W	YER032W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER033C	YER033C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER040W	YER040W	15	0.406	1	0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
YER047C	YER047C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER052C	YER052C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER057C	YER057C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER074W	YER074W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER075C	YER075C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER082C	YER082C	7	0.767	2	0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0
YER083C	YER083C	3	0.978	1	0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER086W	YER086W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER087C-B	YER087C-B	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER089C	YER089C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER091C	YER091C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER092W	YER092W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,8,88,0,0
YER093C	YER093C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER094C	YER094C	11	1.000	1	0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
YER095W	YER095W	15	0.896	2	0,0,0,0,0,0,0,0,0,0,0,0,19,71,0,0
YER101C	YER101C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER102W	YER102W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
