Node label	Node label ORF	Domain (predominant)	Neighborhood score [max=1, min=0] (predominant)	Total number of enriched domains	Number of enriched attributes per domain
YNL297C	YNL297C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL298W	YNL298W	14	1.000	3	0,0,0,0,0,0,0,0,0,0,0,1,55,9,0,0
YNL299W	YNL299W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL300W	YNL300W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL301C	YNL301C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL304W	YNL304W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL306W	YNL306W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL307C	YNL307C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL308C	YNL308C	8	0.328	1	0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
YNL309W	YNL309W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL310C	YNL310C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL312W	YNL312W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,52,16,0,0
YNL313C	YNL313C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL318C	YNL318C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL322C	YNL322C	14	0.628	2	0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0
YNL323W	YNL323W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL327W	YNL327W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL329C	YNL329C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL330C	YNL330C	15	0.434	1	0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
YNL334C	YNL334C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL336W	YNL336W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR003C	YNR003C	1	0.320	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR006W	YNR006W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR009W	YNR009W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR010W	YNR010W	15	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
YNR011C	YNR011C	6	1.000	1	0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
YNR012W	YNR012W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR013C	YNR013C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR016C	YNR016C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR017W	YNR017W	5	0.445	2	0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
YNR018W	YNR018W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR019W	YNR019W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR023W	YNR023W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR024W	YNR024W	10	0.909	3	0,0,0,0,0,0,6,0,35,6,0,0,0,0,0,0
YNR026C	YNR026C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR029C	YNR029C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR031C	YNR031C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR032C-A	YNR032C-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR032W	YNR032W	11	0.338	1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
YNR034W	YNR034W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR035C	YNR035C	13	0.346	2	0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
YNR037C	YNR037C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR038W	YNR038W	8	0.400	1	0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
YNR039C	YNR039C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR044W	YNR044W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR047W	YNR047W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR049C	YNR049C	3	0.613	2	0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR051C	YNR051C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR053C	YNR053C	8	1.000	3	0,0,0,0,0,3,11,6,0,0,0,0,0,0,0,0
YNR054C	YNR054C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR060W	YNR060W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL001W	YOL001W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL004W	YOL004W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,2,66,0,0
YOL005C	YOL005C	11	0.542	2	0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0
YOL006C	YOL006C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL007C	YOL007C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL009C	YOL009C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL010W	YOL010W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL012C	YOL012C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,14,96,0,0
YOL017W	YOL017W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL018C	YOL018C	3	1.000	3	2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL021C	YOL021C	10	0.747	4	0,0,0,0,0,0,3,4,35,1,0,0,0,0,0,0
YOL023W	YOL023W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL025W	YOL025W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL030W	YOL030W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL031C	YOL031C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL034W	YOL034W	14	0.687	1	0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
YOL036W	YOL036W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL038W	YOL038W	11	0.789	2	0,0,0,0,0,0,0,0,0,17,0,0,0,2,0,0
YOL039W	YOL039W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL040C	YOL040C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL041C	YOL041C	8	1.000	3	0,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0
YOL047C	YOL047C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL050C	YOL050C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL052C-A	YOL052C-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL054W	YOL054W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL060C	YOL060C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL061W	YOL061W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL064C	YOL064C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,2,74,0,0
YOL067C	YOL067C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL068C	YOL068C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL069W	YOL069W	14	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
YOL070C	YOL070C	14	0.319	1	0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
YOL076W	YOL076W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL077C	YOL077C	8	1.000	4	0,0,0,0,1,4,13,6,0,0,0,0,0,0,0,0
YOL078W	YOL078W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL081W	YOL081W	9	0.814	1	0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
YOL084W	YOL084W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL086C	YOL086C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL087C	YOL087C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL090W	YOL090W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL094C	YOL094C	14	0.809	1	0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
YOL102C	YOL102C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL104C	YOL104C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL108C	YOL108C	15	0.463	1	0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
YOL109W	YOL109W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL110W	YOL110W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL111C	YOL111C	3	0.978	1	0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL112W	YOL112W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL113W	YOL113W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL116W	YOL116W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL119C	YOL119C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL121C	YOL121C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL123W	YOL123W	9	0.534	2	0,0,0,0,0,0,0,20,0,0,0,0,0,0,3,0
YOL126C	YOL126C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL129W	YOL129W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL133W	YOL133W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,71,13,0,0
YOL135C	YOL135C	15	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
YOL136C	YOL136C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL144W	YOL144W	9	0.437	1	0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
YOL146W	YOL146W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL149W	YOL149W	10	0.526	2	0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0
YOL155C	YOL155C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL157C	YOL157C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL158C	YOL158C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR001W	YOR001W	10	0.771	3	0,0,0,0,0,0,4,0,35,3,0,0,0,0,0,0
YOR007C	YOR007C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR008C	YOR008C	1	0.327	1	0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YOR014W	YOR014W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,47,3,0,0
YOR016C	YOR016C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR017W	YOR017W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR018W	YOR018W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR019W	YOR019W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR020C	YOR020C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR021C	YOR021C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR023C	YOR023C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0
YOR025W	YOR025W	15	0.997	2	0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,0
YOR026W	YOR026W	14	1.000	3	0,0,0,0,0,0,0,0,0,2,0,0,37,1,0,0
YOR027W	YOR027W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR028C	YOR028C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR033C	YOR033C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR035C	YOR035C	14	0.572	2	0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0
YOR036W	YOR036W	1	0.343	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR037W	YOR037W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR038C	YOR038C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,14,94,0,0
YOR039W	YOR039W	15	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0
YOR042W	YOR042W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR043W	YOR043W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR045W	YOR045W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR046C	YOR046C	9	0.503	1	0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
YOR047C	YOR047C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR048C	YOR048C	9	1.000	1	0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
YOR054C	YOR054C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR056C	YOR056C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR057W	YOR057W	15	0.395	2	0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0
YOR058C	YOR058C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,26,7,0,0
YOR061W	YOR061W	14	0.693	2	0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0
YOR063W	YOR063W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR064C	YOR064C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR065W	YOR065W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR066W	YOR066W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR068C	YOR068C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR069W	YOR069W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR070C	YOR070C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR074C	YOR074C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR075W	YOR075W	3	1.000	1	0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR076C	YOR076C	10	0.492	2	0,0,0,0,0,0,0,12,28,0,0,0,0,0,0,0
YOR077W	YOR077W	9	0.329	1	0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
YOR078W	YOR078W	7	1.000	4	0,0,0,0,1,14,12,0,0,0,0,0,0,1,0,0
YOR080W	YOR080W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR081C	YOR081C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR083W	YOR083W	15	0.997	2	0,0,0,0,0,0,0,0,0,0,0,0,6,71,0,0
YOR085W	YOR085W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR089C	YOR089C	3	0.820	2	2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR093C	YOR093C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR094W	YOR094W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR095C	YOR095C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR096W	YOR096W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR098C	YOR098C	9	1.000	2	0,0,0,0,0,0,0,26,0,0,0,0,4,0,0,0
YOR100C	YOR100C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR101W	YOR101W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR103C	YOR103C	17	0.620	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
YOR104W	YOR104W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR106W	YOR106W	3	0.456	1	0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR109W	YOR109W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR112W	YOR112W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR115C	YOR115C	3	0.583	1	0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR116C	YOR116C	15	0.932	2	0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
YOR117W	YOR117W	9	0.730	2	0,0,0,0,0,0,0,29,0,15,0,0,0,0,0,0
YOR119C	YOR119C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR122C	YOR122C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR123C	YOR123C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,14,100,0,0
YOR124C	YOR124C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR127W	YOR127W	13	0.358	1	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
YOR128C	YOR128C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR132W	YOR132W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR133W	YOR133W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR138C	YOR138C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR140W	YOR140W	15	0.920	1	0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
YOR143C	YOR143C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR144C	YOR144C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0
YOR145C	YOR145C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR147W	YOR147W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR148C	YOR148C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR149C	YOR149C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR151C	YOR151C	15	1.000	3	0,0,0,0,0,0,0,0,0,0,0,0,22,84,1,0
YOR154W	YOR154W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR156C	YOR156C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR157C	YOR157C	3	0.719	1	0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR159C	YOR159C	6	1.000	1	0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
YOR160W	YOR160W	9	1.000	1	0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
YOR163W	YOR163W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR164C	YOR164C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR167C	YOR167C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR174W	YOR174W	15	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0
YOR177C	YOR177C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR178C	YOR178C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR179C	YOR179C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR180C	YOR180C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR181W	YOR181W	14	1.000	3	0,0,0,0,0,0,0,0,0,0,0,15,20,1,0,0
YOR184W	YOR184W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR186W	YOR186W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR187W	YOR187W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR188W	YOR188W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR189W	YOR189W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,6,82,0,0
YOR191W	YOR191W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR194C	YOR194C	15	0.419	1	0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
YOR195W	YOR195W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,76,4,0,0
YOR196C	YOR196C	9	0.879	1	0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
YOR200W	YOR200W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR204W	YOR204W	12	0.483	1	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
YOR205C	YOR205C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR207C	YOR207C	15	0.318	1	0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
YOR208W	YOR208W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR209C	YOR209C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR210W	YOR210W	11	0.862	1	0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
YOR213C	YOR213C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR216C	YOR216C	3	0.316	1	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR217W	YOR217W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0
YOR221C	YOR221C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR224C	YOR224C	15	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
YOR229W	YOR229W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR231W	YOR231W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR232W	YOR232W	5	0.366	1	0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
YOR233W	YOR233W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR234C	YOR234C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR235W	YOR235W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR236W	YOR236W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR237W	YOR237W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR244W	YOR244W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,50,78,0,0
YOR246C	YOR246C	14	0.367	1	0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
YOR248W	YOR248W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR249C	YOR249C	14	0.640	1	0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
YOR250C	YOR250C	16	0.718	2	0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
YOR251C	YOR251C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR254C	YOR254C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR259C	YOR259C	11	1.000	1	0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
YOR260W	YOR260W	10	0.332	3	0,0,0,0,0,0,0,4,5,0,2,0,0,0,0,0
YOR261C	YOR261C	11	1.000	1	0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
YOR262W	YOR262W	15	0.635	3	0,0,0,0,0,0,0,0,0,0,0,0,5,26,1,0
YOR265W	YOR265W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR267C	YOR267C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR269W	YOR269W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR270C	YOR270C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR271C	YOR271C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR272W	YOR272W	8	0.960	3	0,0,0,0,1,0,9,6,0,0,0,0,0,0,0,0
YOR273C	YOR273C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR275C	YOR275C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR276W	YOR276W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR279C	YOR279C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR281C	YOR281C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR287C	YOR287C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR288C	YOR288C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR290C	YOR290C	15	0.347	1	0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
YOR292C	YOR292C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR293W	YOR293W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR298C-A	YOR298C-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
