oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YBR160W	YDR507C	kinase-substrate down	kd
YBR160W	YDR507C	kinase-substrate up	ku
YBR160W	YEL009C	kinase-substrate down	kd
YBR160W	YEL032W	kinase-substrate down	kd
YBR160W	YEL061C	kinase-substrate down	kd
YBR160W	YEL065W	kinase-substrate down	kd
YBR160W	YER008C	kinase-substrate down	kd
YBR160W	YER021W	kinase-substrate down	kd
YBR160W	YER032W	kinase-substrate down	kd
YBR160W	YER033C	kinase-substrate down	kd
YBR160W	YER041W	kinase-substrate down	kd
YBR160W	YER059W	kinase-substrate down	kd
YBR160W	YER111C	kinase-substrate down	kd
YBR160W	YER114C	kinase-substrate down	kd
YBR160W	YER120W	kinase-substrate down	kd
YBR160W	YER129W	kinase-substrate down	kd
YBR160W	YER151C	kinase-substrate down	kd
YBR160W	YER155C	kinase-substrate down	kd
YBR160W	YER158C	kinase-substrate down	kd
YBR160W	YER165W	kinase-substrate down	kd
YBR160W	YER167W	kinase-substrate down	kd
YBR160W	YFL009W	kinase-substrate down	kd
YBR160W	YFL026W	kinase-substrate down	kd
YBR160W	YFL029C	kinase-substrate down	kd
YBR160W	YFL029C	kinase-substrate up	ku
YBR160W	YFR021W	kinase-substrate down	kd
YBR160W	YFR027W	kinase-substrate down	kd
YBR160W	YFR028C	kinase-substrate down	kd
YBR160W	YFR046C	kinase-substrate down	kd
YBR160W	YGL003C	kinase-substrate down	kd
YBR160W	YGL049C	kinase-substrate down	kd
YBR160W	YGL075C	kinase-substrate down	kd
YBR160W	YGL090W	kinase-substrate down	kd
YBR160W	YGL097W	kinase-substrate down	kd
YBR160W	YGL113W	kinase-substrate down	kd
YBR160W	YGL116W	kinase-substrate down	kd
YBR160W	YGL122C	kinase-substrate down	kd
YBR160W	YGL124C	kinase-substrate down	kd
YBR160W	YGL175C	kinase-substrate down	kd
YBR160W	YGL178W	kinase-substrate down	kd
YBR160W	YGL190C	kinase-substrate down	kd
YBR160W	YGL201C	kinase-substrate down	kd
YBR160W	YGL216W	kinase-substrate down	kd
YBR160W	YGL235W	kinase-substrate down	kd
YBR160W	YGR014W	kinase-substrate down	kd
YBR160W	YGR035C	kinase-substrate down	kd
YBR160W	YGR092W	kinase-substrate down	kd
YBR160W	YGR092W	kinase-substrate up	ku
YBR160W	YGR108W	kinase-substrate down	kd
YBR160W	YGR109C	kinase-substrate down	kd
YBR160W	YGR184C	kinase-substrate down	kd
YBR160W	YGR186W	kinase-substrate down	kd
YBR160W	YGR188C	kinase-substrate down	kd
YBR160W	YGR221C	kinase-substrate down	kd
YBR160W	YGR225W	kinase-substrate down	kd
YBR160W	YGR238C	kinase-substrate down	kd
YBR160W	YGR270W	kinase-substrate down	kd
YBR160W	YGR296W	kinase-substrate down	kd
YBR160W	YHL007C	kinase-substrate down	kd
YBR160W	YHL022C	kinase-substrate down	kd
YBR160W	YHL035C	kinase-substrate down	kd
YBR160W	YHL050C	kinase-substrate down	kd
YBR160W	YHR027C	kinase-substrate down	kd
YBR160W	YHR030C	kinase-substrate down	kd
YBR160W	YHR097C	kinase-substrate down	kd
YBR160W	YHR098C	kinase-substrate down	kd
YBR160W	YHR118C	kinase-substrate down	kd
YBR160W	YHR124W	kinase-substrate down	kd
YBR160W	YHR149C	kinase-substrate down	kd
YBR160W	YHR158C	kinase-substrate down	kd
YBR160W	YHR159W	kinase-substrate down	kd
YBR160W	YHR164C	kinase-substrate down	kd
YBR160W	YHR166C	kinase-substrate down	kd
YBR160W	YHR172W	kinase-substrate down	kd
YBR160W	YIL031W	kinase-substrate down	kd
YBR160W	YIL050W	kinase-substrate down	kd
YBR160W	YIL095W	kinase-substrate down	kd
YBR160W	YIL101C	kinase-substrate down	kd
YBR160W	YIL106W	kinase-substrate down	kd
YBR160W	YIL112W	kinase-substrate down	kd
YBR160W	YIL122W	kinase-substrate down	kd
YBR160W	YIL135C	kinase-substrate down	kd
YBR160W	YIL140W	kinase-substrate down	kd
YBR160W	YIL149C	kinase-substrate down	kd
YBR160W	YIL150C	kinase-substrate down	kd
YBR160W	YIR001C	kinase-substrate down	kd
YBR160W	YIR010W	kinase-substrate down	kd
YBR160W	YIR023W	kinase-substrate down	kd
YBR160W	YJL013C	kinase-substrate down	kd
YBR160W	YJL060W	kinase-substrate down	kd
YBR160W	YJL076W	kinase-substrate down	kd
YBR160W	YJL084C	kinase-substrate down	kd
YBR160W	YJL092W	kinase-substrate down	kd
YBR160W	YJL106W	kinase-substrate down	kd
YBR160W	YJL106W	kinase-substrate up	ku
YBR160W	YJL111W	kinase-substrate down	kd
YBR160W	YJL115W	kinase-substrate down	kd
YBR160W	YJL157C	kinase-substrate down	kd
YBR160W	YJL187C	kinase-substrate down	kd
YBR160W	YJL187C	kinase-substrate up	ku
YBR160W	YJL194W	kinase-substrate down	kd
YBR160W	YJR010C-A	kinase-substrate down	kd
YBR160W	YJR021C	kinase-substrate down	kd
YBR160W	YJR033C	kinase-substrate down	kd
YBR160W	YJR054W	kinase-substrate down	kd
YBR160W	YJR059W	kinase-substrate down	kd
YBR160W	YJR059W	kinase-substrate up	ku
YBR160W	YJR076C	kinase-substrate down	kd
YBR160W	YJR083C	kinase-substrate down	kd
YBR160W	YJR090C	kinase-substrate down	kd
YBR160W	YJR091C	kinase-substrate down	kd
