interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
197	SUI2	GCN2	YJR007W	YDR283C	13.40846
198	LTE1	CDC28	YAL024C	YBR160W	13.34528
199	VPS41	YCK3	YDR080W	YER123W	13.315032
200	SIP4	SNF1	YJL089W	YDR477W	13.29592
201	RIO1	CKA2	YOR119C	YOR061W	13.27391
202	ROM2	SLT2	YLR371W	YHR030C	13.25498
203	SIC1	CKA1	YLR079W	YIL035C	13.2542
204	BCY1	MCK1	YIL033C	YNL307C	13.18505
205	CDC7	CDC28	YDL017W	YBR160W	13.17261
206	BUD32	SCH9	YGR262C	YHR205W	13.12881
207	RAD53	MEC1	YPL153C	YBR136W	13.122551
208	YPD1	SLN1	YDL235C	YIL147C	13.102481
209	CDC31	MPS1	YOR257W	YDL028C	13.0688
210	HSF1	SNF1	YGL073W	YDR477W	13.04496
211	LRE1	CDC28	YCL051W	YBR160W	13.02758
212	FAR1	FUS3	YJL157C	YBL016W	12.9966
213	HYM1	KIC1	YKL189W	YHR102W	12.98992
214	CLB2	CDC28	YPR119W	YBR160W	12.9533
215	NTH1	TPK1	YDR001C	YJL164C	12.94377
216	HOF1	CDC5	YMR032W	YMR001C	12.927257
217	HSP82	SWE1	YPL240C	YJL187C	12.91292
218	CDC25	TPK1	YLR310C	YJL164C	12.87298
219	HOG1	SSK2	YLR113W	YNR031C	12.871176
220	NDD1	CDC5	YOR372C	YMR001C	12.8331
221	ATG11	ATG1	YPR049C	YGL180W	12.831698
222	POL4	TEL1	YCR014C	YBL088C	12.80391
223	REC107	CDC28	YJR021C	YBR160W	12.80391
224	SCD5	AKL1	YOR329C	YBR059C	12.75622
225	CKS1	CDC28	YBR135W	YBR160W	12.69213
226	MIG3	SNF1	YER028C	YDR477W	12.63867
227	CAK1	CDC28	YFL029C	YBR160W	12.61758
228	RCN2	SLT2	YOR220W	YHR030C	12.56357
229	SNF4	SNF1	YGL115W	YDR477W	12.552889
230	BCK1	SLT2	YJL095W	YHR030C	12.534114
231	FPK1	YPK1	YNR047W	YKL126W	12.496831
232	YHP1	CDC28	YDR451C	YBR160W	12.42294
233	NRG1	CKA1	YDR043C	YIL035C	12.41982
234	CDC14	CDC5	YFR028C	YMR001C	12.40462
235	UME6	RIM11	YDR207C	YMR139W	12.39606
236	CDC24	CLA4	YAL041W	YNL298W	12.38311
237	SSA1	CDC28	YAL005C	YBR160W	12.37914
238	BFA1	CDC5	YJR053W	YMR001C	12.37146
239	PHD1	SSN3	YKL043W	YPL042C	12.34312
240	CYR1	SNF1	YJL005W	YDR477W	12.3402
241	SNF1	ELM1	YDR477W	YKL048C	12.30074
242	SWI5	CDC28	YDR146C	YBR160W	12.27994
243	NHA1	HOG1	YLR138W	YLR113W	12.27013
244	MRC1	RAD53	YCL061C	YPL153C	12.254809
245	STB1	CDC28	YNL309W	YBR160W	12.23614
246	GCN4	PHO85	YEL009C	YPL031C	12.21773
247	SCH9	PKH1	YHR205W	YDR490C	12.179218
248	TAO3	CBK1	YIL129C	YNL161W	12.17509
249	RTT107	MEC1	YHR154W	YBR136W	12.167671
250	ELF1	CKA1	YKL160W	YIL035C	12.16233
251	DBF2	CDC5	YGR092W	YMR001C	12.110047
252	TUS1	CDC28	YLR425W	YBR160W	12.09684
253	PUF6	CKA1	YDR496C	YIL035C	12.09546
