oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YBL003C	YBL046W	protein-protein	p
YBL003C	YBR009C	protein-protein	p
YBL003C	YBR010W	protein-protein	p
YBL003C	YBR089C-A	protein-protein	p
YBL003C	YBR245C	protein-protein	p
YBL003C	YDL002C	protein-protein	p
YBL003C	YDR075W	protein-protein	p
YBL003C	YDR190C	protein-protein	p
YBL003C	YDR224C	protein-protein	p
YBL003C	YDR225W	protein-protein	p
YBL003C	YEL018W	protein-protein	p
YBL003C	YFL024C	protein-protein	p
YBL003C	YGL150C	protein-protein	p
YBL003C	YGL241W	protein-protein	p
YBL003C	YGR252W	protein-protein	p
YBL003C	YGR275W	protein-protein	p
YBL003C	YHR090C	protein-protein	p
YBL003C	YHR099W	protein-protein	p
YBL003C	YIL126W	protein-protein	p
YBL003C	YJL081C	protein-protein	p
YBL003C	YJL127C	protein-protein	p
YBL003C	YJR082C	protein-protein	p
YBL003C	YKR048C	protein-protein	p
YBL003C	YLR033W	protein-protein	p
YBL003C	YLR442C	protein-protein	p
YBL003C	YNL030W	protein-protein	p
YBL003C	YNL031C	protein-protein	p
YBL003C	YNL201C	protein-protein	p
YBL003C	YOR244W	protein-protein	p
YBL003C	YPR019W	protein-protein	p
YBL003C	YPR052C	protein-protein	p
YBL004W	YDR299W	protein-protein	p
YBL004W	YJR002W	protein-protein	p
YBL004W	YPL217C	protein-protein	p
YBL005W	YBR149W	protein-protein	p
YBL005W	YDR176W	protein-protein	p
YBL006C	YIL126W	protein-protein	p
YBL006C	YMR033W	protein-protein	p
YBL007C	YBL105C	protein-protein	p
YBL007C	YBR108W	protein-protein	p
YBL007C	YCL034W	protein-protein	p
YBL007C	YCR030C	protein-protein	p
YBL007C	YCR088W	protein-protein	p
YBL007C	YDL028C	protein-protein	p
YBL007C	YDL146W	protein-protein	p
YBL007C	YDR172W	protein-protein	p
YBL007C	YDR388W	protein-protein	p
YBL007C	YER125W	protein-protein	p
YBL007C	YER133W	protein-protein	p
YBL007C	YFR024C-A	protein-protein	p
YBL007C	YGL181W	protein-protein	p
YBL007C	YGL206C	protein-protein	p
YBL007C	YGR268C	protein-protein	p
YBL007C	YHR016C	protein-protein	p
YBL007C	YIL095W	protein-protein	p
YBL007C	YIR006C	protein-protein	p
YBL007C	YJL020C	protein-protein	p
YBL007C	YJL151C	protein-protein	p
YBL007C	YJL201W	protein-protein	p
YBL007C	YKR001C	protein-protein	p
YBL007C	YLL039C	protein-protein	p
YBL007C	YLR064W	protein-protein	p
YBL007C	YLR200W	protein-protein	p
YBL007C	YLR337C	protein-protein	p
YBL007C	YNL020C	protein-protein	p
YBL007C	YNL084C	protein-protein	p
YBL007C	YNL094W	protein-protein	p
YBL007C	YNL106C	protein-protein	p
YBL007C	YNL152W	protein-protein	p
YBL007C	YNL238W	protein-protein	p
YBL007C	YNL243W	protein-protein	p
YBL007C	YOR181W	protein-protein	p
YBL007C	YOR329C	protein-protein	p
YBL007C	YPR171W	protein-protein	p
YBL008W	YBR009C	protein-protein	p
YBL008W	YBR010W	protein-protein	p
YBL008W	YBR215W	protein-protein	p
YBL008W	YBR289W	protein-protein	p
YBL008W	YGR063C	protein-protein	p
YBL008W	YJL115W	protein-protein	p
YBL008W	YJL176C	protein-protein	p
YBL008W	YJR140C	protein-protein	p
YBL008W	YNL206C	protein-protein	p
YBL008W	YOR038C	protein-protein	p
YBL008W	YOR290C	protein-protein	p
YBL008W	YPR119W	protein-protein	p
YBL010C	YNL317W	protein-protein	p
YBL011W	YDL108W	protein-protein	p
YBL013W	YBR160W	protein-protein	p
YBL014C	YER148W	protein-protein	p
YBL014C	YJL025W	protein-protein	p
YBL014C	YKL125W	protein-protein	p
YBL014C	YML043C	protein-protein	p
YBL016W	YBR083W	protein-protein	p
YBL016W	YDL159W	protein-protein	p
YBL016W	YDR103W	protein-protein	p
YBL016W	YDR388W	protein-protein	p
YBL016W	YDR480W	protein-protein	p
YBL016W	YER075C	protein-protein	p
YBL016W	YER167W	protein-protein	p
YBL016W	YGL178W	protein-protein	p
YBL016W	YHR005C	protein-protein	p
YBL016W	YHR084W	protein-protein	p
YBL016W	YJL157C	protein-protein	p
YBL016W	YLL039C	protein-protein	p
YBL016W	YLR310C	protein-protein	p
YBL016W	YLR362W	protein-protein	p
YBL016W	YLR452C	protein-protein	p
YBL016W	YNL053W	protein-protein	p
YBL016W	YNL246W	protein-protein	p
YBL016W	YOL130W	protein-protein	p
YBL016W	YPL049C	protein-protein	p
YBL016W	YPR115W	protein-protein	p
YBL017C	YHR108W	protein-protein	p
YBL017C	YJL029C	protein-protein	p
YBL017C	YJL053W	protein-protein	p
YBL017C	YJL154C	protein-protein	p
YBL017C	YMR010W	protein-protein	p
YBL017C	YOR069W	protein-protein	p
YBL017C	YPL049C	protein-protein	p
YBL018C	YAL033W	protein-protein	p
YBL018C	YBR257W	protein-protein	p
YBL018C	YHR041C	protein-protein	p
YBL018C	YHR062C	protein-protein	p
YBL018C	YNL221C	protein-protein	p
YBL018C	YNL282W	protein-protein	p
YBL019W	YBR088C	protein-protein	p
YBL021C	YGL237C	protein-protein	p
YBL021C	YHR187W	protein-protein	p
YBL021C	YKL109W	protein-protein	p
YBL021C	YLR200W	protein-protein	p
YBL021C	YOR358W	protein-protein	p
YBL022C	YBR084W	protein-protein	p
YBL023C	YAR007C	protein-protein	p
YBL023C	YBR202W	protein-protein	p
YBL023C	YCL061C	protein-protein	p
YBL023C	YDL017W	protein-protein	p
YBL023C	YDR013W	protein-protein	p
YBL023C	YDR052C	protein-protein	p
YBL023C	YDR099W	protein-protein	p
YBL023C	YDR489W	protein-protein	p
YBL023C	YDR510W	protein-protein	p
YBL023C	YEL032W	protein-protein	p
YBL023C	YGL113W	protein-protein	p
YBL023C	YGL201C	protein-protein	p
YBL023C	YIL150C	protein-protein	p
YBL023C	YJL072C	protein-protein	p
YBL023C	YJL194W	protein-protein	p
YBL023C	YJR046W	protein-protein	p
YBL023C	YLL004W	protein-protein	p
YBL023C	YLR103C	protein-protein	p
YBL023C	YLR274W	protein-protein	p
YBL023C	YMR048W	protein-protein	p
YBL023C	YNL182C	protein-protein	p
YBL023C	YNL261W	protein-protein	p
YBL023C	YNL262W	protein-protein	p
YBL023C	YNL273W	protein-protein	p
YBL023C	YOL146W	protein-protein	p
YBL023C	YOR080W	protein-protein	p
YBL023C	YPR019W	protein-protein	p
YBL025W	YDL113C	protein-protein	p
YBL025W	YHR200W	protein-protein	p
YBL025W	YIL141W	protein-protein	p
YBL025W	YJR087W	protein-protein	p
YBL025W	YLR141W	protein-protein	p
YBL025W	YMR270C	protein-protein	p
YBL026W	YCR077C	protein-protein	p
YBL026W	YCR093W	protein-protein	p
YBL026W	YDL160C	protein-protein	p
YBL026W	YDR378C	protein-protein	p
YBL026W	YER112W	protein-protein	p
YBL026W	YER146W	protein-protein	p
YBL026W	YER172C	protein-protein	p
YBL026W	YGL173C	protein-protein	p
YBL026W	YHR165C	protein-protein	p
YBL026W	YJL124C	protein-protein	p
YBL026W	YJR022W	protein-protein	p
YBL026W	YLR275W	protein-protein	p
YBL026W	YLR438C-A	protein-protein	p
YBL026W	YMR268C	protein-protein	p
YBL026W	YNL147W	protein-protein	p
YBL026W	YOL149W	protein-protein	p
YBL029C-A	YDL222C	protein-protein	p
YBL030C	Q0250	protein-protein	p
YBL030C	YBL045C	protein-protein	p
YBL030C	YEL020W-A	protein-protein	p
YBL030C	YEL024W	protein-protein	p
YBL030C	YGL187C	protein-protein	p
YBL030C	YGL238W	protein-protein	p
YBL030C	YHR005C-A	protein-protein	p
YBL030C	YJR077C	protein-protein	p
YBL030C	YNL052W	protein-protein	p
YBL030C	YNR017W	protein-protein	p
YBL030C	YOR065W	protein-protein	p
YBL030C	YPL063W	protein-protein	p
YBL030C	YPR191W	protein-protein	p
YBL031W	YGR218W	protein-protein	p
YBL032W	YGL105W	protein-protein	p
YBL032W	YHR135C	protein-protein	p
YBL034C	YOL069W	protein-protein	p
YBL035C	YBR087W	protein-protein	p
YBL035C	YDL058W	protein-protein	p
YBL035C	YDR082W	protein-protein	p
YBL035C	YIR008C	protein-protein	p
YBL035C	YKL045W	protein-protein	p
YBL035C	YNL102W	protein-protein	p
YBL035C	YNL290W	protein-protein	p
YBL035C	YOR217W	protein-protein	p
YBL037W	YJR005W	protein-protein	p
YBL037W	YJR058C	protein-protein	p
YBL038W	YDR237W	protein-protein	p
YBL038W	YGR220C	protein-protein	p
YBL038W	YJL063C	protein-protein	p
YBL038W	YML025C	protein-protein	p
YBL038W	YOR150W	protein-protein	p
YBL039C	YBL105C	protein-protein	p
YBL039C	YDL108W	protein-protein	p
