complex_id	oln_id
279	YAR042W
487	YER133W
101	YKR002W
415	snR191
59	YMR186W
227	YDR434W
188	YAL034W-A
296	YJL146W
71	YOR250C
191	YDR260C
462	YOR276W
74	YER107C
328	YML082W
245	YDR361C
432	YDR106W
182	YOR207C
489	YPL126W
210	YDR292C
255	YDR328C
17	YOR043W
69	YDR460W
164	YGL252C
215	YPL129W
358	YBR011C
110	YGL105W
7	YBR170C
324	YLR304C
129	YHR062C
170	YJL069C
131	YDL145C
152	YBR127C
415	snR3
414	snR63
72	YBR160W
155	YNL126W
193	YJR075W
3	YIR006C
94	YKL167C
6	YCL032W
152	YKL080W
201	YJR092W
515	YNL311C
154	YDR064W
231	YLR182W
74	YIL115C
185	YER025W
204	YHR052W
113	YBR278W
192	YGR253C
85	YIL109C
64	YBR211C
335	YBR109C
479	YDL232W
502	YAL030W
85	YNL049C
193	YPL050C
236	YNL141W
252	YJL033W
509	YGR116W
477	YDR460W
451	YEL020W-A
515	YDL013W
204	YMR049C
274	YKL152C
445	YNL158W
187	YNL059C
414	snR65
115	YEL053C
5	YBR010W
183	YDR363W-A
230	YLR015W
183	YIL075C
221	YJL179W
293	YEL043W
349	YNL099C
505	TLC1
170	YJR145C
461	YDR369C
203	YMR025W
354	YDR032C
296	YDR233C
375	YCR088W
414	snR38
168	YJL081C
284	YDL074C
349	YDR067C
509	YPL046C
169	YJL148W
216	YJL008C
479	YOR085W
125	YDR473C
154	YDR025W
365	YMR120C
423	YHR086W
75	YDR425W
143	YDR422C
6	YLR362W
474	YLR221C
47	YJL080C
116	YDR190C
158	YKR001C
94	YMR225C
217	YPL011C
261	YKL007W
277	YJR049C
146	YDR138W
182	YPR187W
437	YDR019C
13	YER151C
174	YOL148C
182	YNR003C
507	YHR186C
5	YBR009C
123	YDR347W
170	YNL132W
276	YNL218W
422	YER147C
183	YDR394W
422	YDR180W
15	YLL002W
129	YNL221C
229	YOR001W
499	YNL309W
92	YKL016C
164	YJL047C
298	YJR014W
219	YBR181C
192	YFL007W
449	YLR008C
29	YGL098W
138	YPR070W
226	YBR126C
230	YBR175W
83	YHR191C
123	YKL155C
219	YKL180W
288	YGL082W
469	YBL052C
238	YBR061C
145	YNR006W
171	YLR321C
458	YAL010C
480	YOL110W
170	YLL011W
405	YPR173C
423	YPL178W
64	YDR254W
116	YLR399C
204	YPR016C
383	YJR009C
222	YGR162W
313	YCL032W
10	YHR084W
220	YDR202C
392	YJL066C
46	YGL095C
233	YDR325W
291	YOR133W
123	YBR251W
407	YHR179W
72	YMR199W
94	YDR405W
107	YLR039C
180	YHR118C
339	YMR031C
215	YBR154C
154	YHR203C
437	YFL018C
183	YHR027C
351	YBR030W
442	YDR386W
188	YJR112W
92	YBL099W
284	YPL055C
486	YFR010W
13	YNR051C
175	YKR068C
174	YDR176W
495	YGR180C
504	YGL249W
105	YML049C
119	YGL194C
169	YJR063W
171	YJL176C
476	YPL022W
90	YIL035C
515	YDR219C
341	YML085C
251	YDR231C
226	YDR074W
204	YPL093W
414	snR17b
456	YML091C
87	YOL013C
132	YBR105C
170	YPR137W
123	YNL306W
171	YPR034W
366	YGR196C
169	YOR210W
508	YER093C
48	YML014W
415	snR86
101	YLR115W
125	YER029C
295	YML067C
170	YGL171W
194	YPL065W
513	YMR059W
89	YIL026C
109	YMR263W
407	YPL171C
125	YKL173W
112	YHR186C
219	YHR141C
473	YLR453C
79	YPR179C
219	YMR194W
26	YER120W
131	YFR051C
114	YIL125W
179	YDL165W
415	snR80
80	YLR175W
452	YNL131W
287	YHR076W
216	YJL014W
415	snR81
94	YDR296W
164	YOL133W
80	YDL208W
414	snR69
129	YAL033W
458	YHR083W
25	YBL071W-A
216	YNL212W
219	YPL220W
342	YLR347C
171	YCR020W-B
64	YPR046W
385	YAL061W
403	YLR146C
169	YNL113W
183	YHR200W
221	YLR200W
276	YEL058W
170	YPL217C
198	YOR110W
101	YOR179C
33	YDL047W
170	YDL014W
310	YKL104C
219	YLR150W
252	YNR054C
22	YOL001W
72	YLR079W
344	YOR375C
384	YFL038C
508	YNL006W
449	YPL063W
182	YDR045C
475	YNL178W
71	YGL044C
234	YDR378C
487	YDR028C
280	YJL098W
400	YGR043C
192	YER012W
244	YML072C
487	YER054C
171	YPL016W
29	YNL258C
204	YDR087C
35	YHR034C
134	YML071C
204	YLL008W
69	YPR025C
170	YDR299W
350	YML119W
376	YGL125W
161	YPL045W
195	YJL164C
91	YLR240W
215	YGR063C
360	YIL129C
394	YOR347C
450	YOR297C
352	YPL122C
225	YJL173C
497	YMR270C
23	YNR046W
75	YJL036W
187	YDR190C
185	YDR211W
369	YER089C
176	YJR058C
204	YMR290C
38	YOR173W
200	YDL042C
398	YDR075W
11	YCR009C
94	YMR024W
20	YDR141C
138	YDR308C
94	YPR100W
454	Q0080
123	YDR175C
450	YBR091C
203	YIL071C
503	YFR030W
448	YEL059C-A
495	YER070W
420	YJL115W
345	YBL052C
397	YCR042C
21	YOR124C
80	YHR089C
189	YPL086C
479	YGL022W
190	YJL154C
219	YBR191W
204	YLR002C
417	YMR094W
508	YIL105C
183	YOR117W
146	YNL004W
95	YNL072W
184	YGL213C
314	YML106W
476	YML095C
180	YLL004W
219	YLR340W
94	YHR147C
170	YLR409C
322	YOR164C
512	YLR378C
93	YJL072C
216	YIL142W
84	YKL074C
155	YAL047C
444	YPL155C
182	YKL144C
434	YOR076C
219	YOL127W
399	YCR028C-A
514	YGL087C
367	YMR293C
464	YHR023W
113	YPR175W
183	YOR261C
296	YPL154C
488	YPL024W
124	YLR170C
415	snR10
503	YJR137C
435	YKL007W
457	YPL132W
409	YGR278W
433	YMR077C
169	YDR156W
173	YLR370C
210	YKL154W
332	YDR071C
212	YLR192C
497	YBL025W
441	YMR058W
216	YOR281C
482	YHR174W
215	YOL005C
234	YER146W
301	YOR370C
215	YPR187W
123	YBR146W
414	YLR197W
253	YPR035W
205	YEL037C
246	YKL014C
287	YMR079W
292	YCL043C
357	YOR154W
156	YJR068W
125	YLR275W
151	YGL237C
194	YCL008C
517	YFL004W
409	YDL209C
414	snR61
221	YGR078C
473	YLR442C
217	YDR167W
344	YAL062W
253	YDR171W
341	YBR017C
414	snR190
183	YDR427W
473	YGR099W
154	YJL190C
211	YPL094C
64	YGR179C
114	YFR049W
74	YJL061W
237	YBR117C
433	YLR025W
123	YNL081C
455	YLL041C
219	YNL178W
457	YGL068W
202	YGL233W
91	YLR360W
131	YIL076W
298	YER007C-A
240	YBR061C
64	YDR383C
204	YGL111W
204	YNL110C
17	YLR019W
193	YDR245W
446	YLR274W
122	YOR123C
508	YKL203C
28	YLR139C
356	YAL020C
465	YOR326W
93	YDR489W
137	YER178W
311	YDR244W
139	YGR134W
170	YLR003C
392	YMR241W
170	YCR057C
201	YJR076C
263	YNL201C
458	YNL026W
510	YNL025C
423	YDR240C
174	YDR448W
120	YJR102C
98	YER149C
168	YHR090C
180	YML065W
215	YOR151C
219	YGL014W
261	YER071C
219	YIL018W
322	YOR007C
396	YHR170W
63	YGR006W
212	YMR146C
170	YLR186W
255	YKR014C
94	YMR098C
132	YMR135C
324	YGR234W
168	YFL039C
409	YMR213W
138	YGL151W
138	YDR443C
219	YGL031C
219	YDR382W
494	YIL149C
5	YEL056W
185	YOR260W
79	YDR295C
118	YPL228W
268	YKL210W
411	YMR205C
183	YGL048C
323	YGR071C
517	YER072W
518	YIL139C
139	YAL021C
415	snR30
372	YIL128W
7	YDL126C
452	YMR203W
37	YOR232W
130	YGR113W
193	YJL183W
223	YLR005W
39	YKR048C
77	YGL200C
99	YJL050W
94	YLR439W
77	YAL007C
116	YAL011W
414	snR40
345	YLR455W
104	YJR006W
221	YML094W
171	YGR275W
170	YER127W
182	YNL151C
87	YLR207W
14	YCR066W
108	YIL144W
414	snR67
452	YKL195W
343	YDL018C
170	YPL266W
233	YBL097W
108	YER018C
487	YOR178C
386	YLR048W
143	YER129W
174	YDR392W
414	snR75
177	YPR018W
389	YHR072W
313	YBR185C
418	YKR036C
471	YPL169C
51	YLR293C
178	YKR020W
484	YHR052W
68	YPL020C
170	YOR310C
129	YDR478W
5	YOL054W
22	YPL031C
154	YER102W
250	YMR304W
414	snR79
414	snR58
169	YPR110C
490	YBR114W
171	YKR008W
229	YNL232W
117	YKL028W
484	YGL058W
207	YNL037C
227	YHR188C
191	YIR025W
116	YPL235W
174	YPL047W
88	YKL211C
18	YPL096W
149	YPL210C
401	YDR357C
123	YJR113C
141	YDL056W
414	snR57
415	snR33
315	YGL167C
59	YOR027W
119	YOL068C
174	YGR252W
204	YHR088W
224	YLR060W
139	YER068W
453	YDL130W-A
123	YDR041W
165	YAL027W
60	YPR161C
158	YPL082C
293	YGR089W
182	YOR116C
183	YKL145W
109	YPL139C
229	YDR280W
152	YDL185W
299	YMR149W
171	YOR290C
199	YKL182W
189	YHR187W
119	YDR155C
173	YJR065C
274	YKL060C
182	YKR025W
134	YPR105C
190	YJL053W
192	YOL038W
426	YGL215W
498	YJR010C-A
230	YBR258C
410	YLR342W
125	YGR074W
380	YHR106W
132	YGL227W
369	YDR071C
219	YLR029C
219	YDR418W
362	YLR106C
374	YGR283C
423	YLR147C
426	YER059W
497	YOR295W
127	YOL076W
264	YHR195W
170	YMR093W
66	YGL092W
181	YOL034W
169	YOR224C
481	YBR088C
174	YDR145W
111	YMR273C
202	YPR055W
280	YGR161C
414	snR71
183	YHL030W
452	YGR082W
96	YDR390C
219	YBL092W
473	YDR227W
515	YLR224W
189	YGR200C
59	YLR216C
66	YGL100W
215	YGL043W
295	YAL042W
393	YLL048C
446	YGL201C
438	YDR437W
19	YIL022W
206	YML057W
493	YNL072W
148	YDL040C
473	YLR150W
139	YNL288W
346	YLR424W
413	YCL009C
94	YKR085C
220	YDR328C
219	YLR441C
123	YGR215W
115	YCR020C-A
58	YNL325C
334	YOR251C
448	YMR035W
87	YDR057W
510	YDR443C
170	YGR090W
461	YMR224C
138	YMR112C
183	YFR010W
64	YLR315W
475	YBR247C
489	YDL042C
351	YLR244C
362	YNR053C
408	YLR257W
211	YBR171W
228	YGR180C
404	YOR108W
257	YCL017C
132	YIL097W
123	YKL003C
247	YLR310C
412	snR17a
487	YBR050C
234	YBL026W
348	YGR250C
130	YDR016C
170	YBL004W
138	YDL005C
382	YBL105C
261	YIR003W
499	YOL004W
234	YMR268C
329	YGL062W
415	snR8
101	YNL222W
149	YKL122C
310	YML124C
138	YOL051W
163	YHR051W
170	YGR145W
183	YFR004W
278	YJL002C
8	YBL058W
409	YLL036C
455	YKL141W
180	YBR060C
310	YKL029C
121	YOL090W
154	YML024W
168	YEL018W
180	YPR162C
232	YDL090C
124	YKL135C
137	YGR193C
233	YLR272C
245	YBL087C
354	YBR052C
512	YDR086C
419	YJL065C
431	YML010W
161	YDL077C
204	YOR206W
414	snR56
415	snR49
245	YPL208W
282	YJL138C
511	YER148W
206	YKL190W
197	YMR106C
415	snR36
215	YDL140C
78	YFR002W
338	YGR017W
166	YKL139W
455	YDR178W
346	YDL209C
29	YKL196C
116	YGR002C
401	YNL086W
327	YER177W
437	YMR189W
432	YPL174C
306	YIL161W
43	YLR035C
130	YKR083C
223	YPR056W
217	YDR145W
474	YPL093W
496	YKL125W
30	YKL206C
170	YOR096W
447	YOL009C
281	YDR517W
290	YBR034C
501	YPR137W
175	YGR166W
233	YLR086W
341	YEL022W
362	YCR072C
429	YGL090W
61	YOR026W
243	YGL001C
170	YPR112C
217	YMR227C
90	YGL019W
118	YGL130W
218	YDR252W
153	YKL025C
186	YMR237W
163	YNL052W
386	YGR214W
451	YJR135W-A
129	YGR030C
460	YPL204W
170	YGR128C
128	YHR005C
171	YBR289W
174	YMR223W
134	YGL223C
179	YPR072W
77	YML012W
159	YKR038C
506	YLR233C
414	snR68
462	YJL124C
101	YLR277C
171	YCR052W
3	YNL084C
234	YDL160C
273	YIL143C
373	YER143W
427	YDR488C
218	YPL037C
131	YGL137W
178	YDR484W
246	YOL144W
25	YIL103W
262	YIL106W
128	YOR212W
94	YBR282W
219	YGL123W
219	YDL083C
138	YER022W
96	YPR180W
130	YGL061C
414	snR72
186	YLR330W
372	YNL240C
306	YNL023C
502	YPL232W
152	YJR033C
170	YER082C
421	YDR227W
280	YOR267C
414	snR54
415	snR42
246	YLR221C
303	YLR389C
476	YMR201C
161	YLR148W
62	YKR072C
423	YMR125W
211	YOR254C
426	YPL256C
415	snR9
205	YER162C
64	YLR381W
129	YNL282W
175	YDR246W
409	YAL032C
187	YNL215W
321	YBR125C
142	YLL041C
349	YNL032W
52	YOR353C
170	YOL010W
398	YDR293C
414	snR18
414	snR39B
433	YKL002W
105	YJL203W
269	YBL007C
305	YJL141C
123	YHL004W
329	YBR218C
454	YML081C-A
446	YBR202W
318	YCR030C
192	YPR103W
382	YGR254W
341	YOR160W
72	YBR135W
143	YDR477W
192	YJL001W
269	YLR337C
316	YGL173C
479	YOR103C
229	YCR035C
444	YPL253C
9	YDL047W
94	YML025C
288	YMR246W
479	YEL002C
484	YEL037C
415	snR11
36	YNL138W
413	YMR108W
86	YPR149W
103	YBR112C
487	YLR273C
65	YDR227W
124	YFL034W
219	YLL045C
215	YJL140W
234	YER112W
171	YLR033W
129	YBR257W
184	YLR398C
362	YHR085W
219	YNL096C
403	YPR069C
159	YML036W
216	YDL143W
294	YJR067C
291	YDR385W
335	YOR326W
40	YDR517W
154	YIL069C
414	snR87
217	YML098W
204	YKL172W
359	YMR104C
146	YNL139C
171	YHR056C
23	YOL124C
230	YAR003W
94	YML009C
212	YOR361C
419	YOR304W
108	YMR117C
170	YHR196W
485	YFL007W
187	YPL235W
409	YGL128C
285	YJL180C
509	YPR133C
511	YGR246C
81	YPL166W
477	YGR258C
365	YLR028C
368	YGR003W
62	YKL088W
122	YLR418C
378	YAL034C
108	YOL069W
219	YFR032C-A
219	YOL039W
180	YNL261W
12	YKL130C
187	YGL150C
513	YAR008W
50	YGR244C
132	YIL017C
216	YJL111W
372	YDR267C
452	YPR133W-A
185	YKR026C
425	YPR104C
99	YDL175C
450	YDL217C
437	YAL044C
170	YBR247C
