oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YBL032W	YGL073W	transcription factor-target up	tu
YBL032W	YKL112W	transcription factor-target up	tu
YBL032W	YML007W	transcription factor-target up	tu
YBL032W	YNL068C	transcription factor-target up	tu
YBL032W	YPL254W	transcription factor-target up	tu
YBL033C	YNL068C	transcription factor-target up	tu
YBL034C	YBR049C	transcription factor-target up	tu
YBL037W	YBR182C	transcription factor-target up	tu
YBL038W	YKL112W	transcription factor-target up	tu
YBL039C	YKL112W	transcription factor-target up	tu
YBL040C	YBR049C	transcription factor-target up	tu
YBL041W	YDL020C	transcription factor-target up	tu
YBL041W	YKL112W	transcription factor-target up	tu
YBL041W	YOL116W	transcription factor-target up	tu
YBL042C	YOL116W	transcription factor-target up	tu
YBL043W	YOR028C	transcription factor-target up	tu
YBL043W	YPL177C	transcription factor-target up	tu
YBL044W	YKL109W	transcription factor-target up	tu
YBL045C	YKL109W	transcription factor-target up	tu
YBL046W	YBR049C	transcription factor-target up	tu
YBL047C	YMR037C	transcription factor-target up	tu
YBL050W	YBR049C	transcription factor-target up	tu
YBL051C	YBR049C	transcription factor-target up	tu
YBL051C	YML007W	transcription factor-target up	tu
YBL052C	YBR049C	transcription factor-target up	tu
YBL054W	YHR146W	transcription factor-target down	td
YBL054W	YLR297W	transcription factor-target down	td
YBL054W	YNL180C	transcription factor-target down	td
YBL054W	YNL240C	transcription factor-target down	td
YBL054W	YOL047C	transcription factor-target down	td
YBL054W	YPL012W	transcription factor-target down	td
YBL058W	YBR049C	transcription factor-target up	tu
YBL058W	YDL020C	transcription factor-target up	tu
YBL061C	YNL216W	transcription factor-target up	tu
YBL063W	YIL131C	transcription factor-target up	tu
YBL064C	YDR207C	transcription factor-target up	tu
YBL068W	YJR060W	transcription factor-target up	tu
YBL068W	YLR403W	transcription factor-target up	tu
YBL072C	YNL216W	transcription factor-target up	tu
YBL072C	YPR104C	transcription factor-target up	tu
YBL075C	YGL073W	transcription factor-target up	tu
YBL076C	YBR049C	transcription factor-target up	tu
YBL076C	YEL009C	transcription factor-target up	tu
YBL077W	YBR049C	transcription factor-target up	tu
YBL077W	YDR207C	transcription factor-target up	tu
YBL078C	YBR049C	transcription factor-target up	tu
YBL078C	YDR207C	transcription factor-target up	tu
YBL079W	YKL112W	transcription factor-target up	tu
YBL080C	YKL112W	transcription factor-target up	tu
YBL081W	YIL131C	transcription factor-target up	tu
YBL082C	YIL131C	transcription factor-target up	tu
YBL082C	YLR131C	transcription factor-target up	tu
YBL084C	YBR049C	transcription factor-target up	tu
YBL087C	YGL013C	transcription factor-target up	tu
YBL087C	YKL032C	transcription factor-target up	tu
YBL087C	YLR403W	transcription factor-target up	tu
YBL087C	YNL216W	transcription factor-target up	tu
YBL092W	YPR104C	transcription factor-target up	tu
YBL093C	YNL216W	transcription factor-target up	tu
YBL093C	YPR104C	transcription factor-target up	tu
YBL097W	YNL068C	transcription factor-target up	tu
YBL097W	YOL067C	transcription factor-target up	tu
YBL099W	YKL109W	transcription factor-target up	tu
YBL102W	YBR049C	transcription factor-target up	tu
YBL103C	YBR049C	transcription factor-target up	tu
YBL103C	YBR104W	transcription factor-target down	td
YBL103C	YCR005C	transcription factor-target down	td
YBL103C	YCR018C-A	transcription factor-target down	td
YBL103C	YCR019W	transcription factor-target down	td
YBL103C	YCR096C	transcription factor-target down	td
YBL103C	YCR097W	transcription factor-target down	td
YBL103C	YDR339C	transcription factor-target down	td
YBL103C	YDR510W	transcription factor-target down	td
YBL103C	YDR522C	transcription factor-target down	td
YBL103C	YEL050C	transcription factor-target down	td
YBL103C	YJR148W	transcription factor-target down	td
YBL103C	YLR049C	transcription factor-target down	td
YBL103C	YLR089C	transcription factor-target down	td
YBL103C	YLR266C	transcription factor-target down	td
