interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
1013	HSP12	HOG1	YFL014W	YLR113W	4.601661
1014	PDA1	PKP1	YER178W	YIL042C	4.594507
1015	CLN2	STE20	YPL256C	YHL007C	4.58976
1016	GIN4	GIN4	YDR507C	YDR507C	4.58976
1017	KTI12	HRR25	YKL110C	YPL204W	4.58976
1018	REC8	CDC7	YPR007C	YDL017W	4.58976
1019	RPD3	HOG1	YNL330C	YLR113W	4.58976
1020	SIN3	HOG1	YOL004W	YLR113W	4.58976
1021	SPT20	HOG1	YOL148C	YLR113W	4.58976
1022	TUP1	SSN3	YCR084C	YPL042C	4.58976
1023	CIN5	MCK1	YOR028C	YNL307C	4.58732
1024	MIG1	TOS3	YGL035C	YGL179C	4.58732
1025	SOL2	VHS1	YCR073W-A	YDR247W	4.58732
1026	RGD1	SLT2	YBR260C	YHR030C	4.586496
1027	RGD1	BCK1	YBR260C	YJL095W	4.586496
1028	GPD1	PBS2	YDL022W	YJL128C	4.559805
1029	GIS1	RIM15	YDR096W	YFL033C	4.553301
1030	PKH1	YPK1	YDR490C	YKL126W	4.553301
1031	RHO1	SLT2	YPR165W	YHR030C	4.553301
1032	STE7	BCK1	YDL159W	YJL095W	4.553301
1033	YPK1	PKC1	YKL126W	YBL105C	4.553301
1034	MSB2	HOG1	YGR014W	YLR113W	4.54993
1035	RAS2	YAK1	YNL098C	YJL141C	4.54993
1036	CLN3	SSN3	YAL040C	YPL042C	4.545788
1037	SIC1	CAK1	YLR079W	YFL029C	4.545788
1038	DYN1	KIN4	YKR054C	YOR233W	4.5453
1039	CLB1	CDC5	YGR108W	YMR001C	4.52842
1040	AVT1	TPK1	YJR001W	YJL164C	4.51793
1041	AVT1	TPK2	YJR001W	YPL203W	4.51793
1042	AVT1	TPK3	YJR001W	YKL166C	4.51793
1043	CRZ1	SKY1	YNL027W	YMR216C	4.51793
1044	ECM3	TPK1	YOR092W	YJL164C	4.51793
1045	FRA1	TPK1	YLL029W	YJL164C	4.51793
1046	MNR2	TPK1	YKL064W	YJL164C	4.51793
1047	MNR2	TPK2	YKL064W	YPL203W	4.51793
1048	MNR2	TPK3	YKL064W	YKL166C	4.51793
1049	STB3	TPK1	YDR169C	YJL164C	4.51793
1050	STB3	TPK2	YDR169C	YPL203W	4.51793
1051	SYG1	TPK1	YIL047C	YJL164C	4.51793
1052	YBR028C	TPK1	YBR028C	YJL164C	4.51793
1053	SIS2	SLT2	YKR072C	YHR030C	4.516978
1054	CRM1	BUD32	YGR218W	YGR262C	4.49601
1055	GRX3	BUD32	YDR098C	YGR262C	4.49601
1056	IMD2	BUD32	YHR216W	YGR262C	4.49601
1057	IMD4	BUD32	YML056C	YGR262C	4.49601
1058	PRS2	RIM11	YER099C	YMR139W	4.49601
1059	PRS3	RIM11	YHL011C	YMR139W	4.49601
1060	PRS5	RIM11	YOL061W	YMR139W	4.49601
1061	ROD1	RCK1	YOR018W	YGL158W	4.49601
1062	SLA2	ARK1	YNL243W	YNL020C	4.49601
1063	SMT3	KNS1	YDR510W	YLL019C	4.49601
1064	YOL036W	CBK1	YOL036W	YNL161W	4.49601
1065	CCH1	BCK1	YGR217W	YJL095W	4.49101
1066	SKT5	SLT2	YBL061C	YHR030C	4.49101
1067	MPT5	CDC28	YGL178W	YBR160W	4.482269
1068	SOG2	CBK1	YOR353C	YNL161W	4.4763
1069	ELM1	HSL1	YKL048C	YKL101W	4.461138
1070	MKK1	PKC1	YOR231W	YBL105C	4.44581
1071	PKC1	MKK1	YBL105C	YOR231W	4.44581
1072	CDC20	BUB1	YGL116W	YGR188C	4.44045
1073	SSN8	PHO85	YNL025C	YPL031C	4.44045
1074	CAK1	SMK1	YFL029C	YPR054W	4.429679
1075	BBP1	CDC5	YPL255W	YMR001C	4.42936
1076	DJP1	SLN1	YIR004W	YIL147C	4.42936
1077	MOG1	SLN1	YJR074W	YIL147C	4.42936
1078	PTC2	IRE1	YER089C	YHR079C	4.42936
1079	SUT1	STE20	YGL162W	YHL007C	4.42936
1080	CNB1	SWE1	YKL190W	YJL187C	4.422441
1081	MID2	SLT2	YLR332W	YHR030C	4.422441
1082	DEF1	CDC28	YKL054C	YBR160W	4.419269
1083	NUP60	CDC28	YAR002W	YBR160W	4.419269
1084	SAC7	CDC28	YDR389W	YBR160W	4.419269
1085	SIR4	CDC28	YDR227W	YBR160W	4.419269
1086	TPK2	TPK1	YPL203W	YJL164C	4.410939
1087	TPK3	TPK1	YKL166C	YJL164C	4.410939
1088	SRS2	DUN1	YJL092W	YDL101C	4.3859
1089	CDC20	CDC28	YGL116W	YBR160W	4.38465
1090	ROM2	PHO85	YLR371W	YPL031C	4.38465
1091	SEC3	CDC28	YER008C	YBR160W	4.38465
1092	SPO11	CDC28	YHL022C	YBR160W	4.38465
1093	PCL10	HRR25	YGL134W	YPL204W	4.3809082
1094	SEC2	SNF1	YNL272C	YDR477W	4.36972
1095	CLN3	FUS3	YAL040C	YBL016W	4.36619
1096	CYC8	HOG1	YBR112C	YLR113W	4.36619
1097	SOD2	SCH9	YHR008C	YHR205W	4.36619
1098	TUP1	HOG1	YCR084C	YLR113W	4.36619
1099	EBS1	SLT2	YDR206W	YHR030C	4.35709
1100	ASF1	CDC28	YJL115W	YBR160W	4.355379
1101	ARR3	HOG1	YPR201W	YLR113W	4.349441
1102	FKS1	PKC1	YLR342W	YBL105C	4.349441
1103	ROG1	MRK1	YGL144C	YDL079C	4.34739
1104	ROG1	YGK3	YGL144C	YOL128C	4.34739
